Long Method:
	gui.screens.MainScreen	private void initComponents() 	layout	B1	0/28
	gui.screens.AboutScreen	private void initComponents() 	layout	B1	0/26
	gui.screens.MailScreen	private void initComponents() 	layout	B1	0/20
	gui.screens.ProjectScreen	private void initComponents() 	layout	B1	0/17
	gui.screens.StartScreen	private void initComponents() 	layout	B1	0/17
	gui.screens.MainScreen	private void initComponents() 	ButtonAdd	B1	0/13
	gui.screens.ProblemScreen	private void initComponents() 	ButtonDone	B1	0/12
	gui.screens.ProblemScreen	private void ButtonDoneActionPerformed(java.awt.event.ActionEvent) 	currentProblem	B2	0/12
	gui.screens.ProblemScreen	private void ButtonDoneActionPerformed(java.awt.event.ActionEvent) 	currentProblem	B5	0/4
	gui.screens.ProjectScreen	private void initComponents() 	ButtonFAQ	B1	0/11
	gui.screens.RunScreen	private void SetAlgorithmsForVarible(java.lang.String) 	selected_algorithms	B1	0/11
	solverandoptimizer.problems.DoubleProblemInternal	public void evaluate(org.uma.jmetal.solution.DoubleSolution) 	fx	B1	0/10
	solverandoptimizer.problems.DoubleProblemInternal	public void evaluate(org.uma.jmetal.solution.DoubleSolution) 	fx	B2	0/8
	solverandoptimizer.problems.DoubleProblemInternal	public void evaluate(org.uma.jmetal.solution.DoubleSolution) 	fx	B4	0/6
	solverandoptimizer.problems.IntegerProblemInternal	public void evaluate(org.uma.jmetal.solution.IntegerSolution) 	fx	B1	0/10
	solverandoptimizer.problems.IntegerProblemInternal	public void evaluate(org.uma.jmetal.solution.IntegerSolution) 	fx	B2	0/8
	solverandoptimizer.problems.IntegerProblemInternal	public void evaluate(org.uma.jmetal.solution.IntegerSolution) 	fx	B4	0/6
	gui.screens.MailScreen	private void initComponents() 	ButtonSend	B1	0/9
	gui.screens.MainScreen	private void initComponents() 	JarPath	B1	0/8
	gui.screens.ProjectScreen	private void initComponents() 	ButtonLoad	B1	0/8
	gui.screens.StartScreen	private void initComponents() 	Continue	B1	0/8
	gui.screens.StartScreen	private void initComponents() 	Mail	B1	0/8
	gui.screens.MainScreen	public void updateProblemData() 	variables	B1	0/8
	gui.screens.MainScreen	public void updateProblemData() 	variables	B2	0/7
	gui.screens.MainScreen	public void updateProblemData() 	variables	B3	0/6
	utils.CompilerRandTex	private void ini_R() 	rscript	B1	0/8
	utils.CompilerRandTex	private void ini_R() 	rscript	B2	0/6
	utils.CompilerRandTex	private void ini_R() 	rscript	B3	0/5
	gui.screens.ProblemScreen	private void initComponents() 	Panel	B1	0/7
	gui.screens.ProblemScreen	private void initComponents() 	PanelLayout	B1	0/7
	gui.screens.ProblemScreen	private void initComponents() 	ScrollPane	B1	0/6
